run,p,num_stable,frac_unstable
0,1,1.0,0.0
0,2,2.0,0.0
0,3,3.0,0.0
0,4,4.0,0.0
0,5,5.0,0.0
0,6,6.0,0.0
0,7,7.0,0.0
0,8,8.0,0.0
0,9,9.0,0.0
0,10,10.0,0.0
0,11,11.0,0.0
0,12,12.0,0.0
0,13,11.0,0.15384615384615385
0,14,8.0,0.42857142857142855
0,15,8.0,0.4666666666666667
0,16,8.0,0.5
0,17,10.0,0.4117647058823529
0,18,6.0,0.6666666666666666
0,19,8.0,0.5789473684210527
0,20,6.0,0.7
0,21,5.0,0.7619047619047619
0,22,4.0,0.8181818181818182
0,23,4.0,0.8260869565217391
0,24,5.0,0.7916666666666666
0,25,3.0,0.88
0,26,2.0,0.9230769230769231
0,27,2.0,0.9259259259259259
0,28,2.0,0.9285714285714286
0,29,1.0,0.9655172413793104
0,30,0.0,1.0
0,31,1.0,0.967741935483871
0,32,0.0,1.0
0,33,0.0,1.0
0,34,0.0,1.0
0,35,0.0,1.0
0,36,0.0,1.0
0,37,0.0,1.0
0,38,0.0,1.0
0,39,0.0,1.0
0,40,0.0,1.0
0,41,0.0,1.0
0,42,0.0,1.0
0,43,0.0,1.0
0,44,0.0,1.0
0,45,0.0,1.0
0,46,0.0,1.0
0,47,0.0,1.0
0,48,0.0,1.0
0,49,0.0,1.0
0,50,0.0,1.0
